,0,1,2,3,4
0,ASRE.PK,31-Aug-2023,US,Electric Utilities (NEC),24535884
1,TVC.N,30-Sep-2023,US,Electric Utilities (NEC),231400522
2,SPEV.PK,28-Feb-2023,US,Power Charging Stations,231031961
3,CHJI.PK,31-Dec-2022,US,Shell Companies,23823581
4,PEGY.OQ,31-Dec-2022,US,Electric Utilities (NEC),23820823
5,OIGBQ.PK,31-Dec-2022,US,Electric Utilities (NEC),23807500
6,NVVE.OQ,31-Dec-2022,US,Power Charging Stations,23789354
7,VGAS.OQ,31-Dec-2022,US,Shell Companies,23788509
8,—,31-Dec-2022,US,Corporate Financial Services (NEC),23787759
9,—,31-Dec-2022,US,Electric Utilities (NEC),23787100
10,CLIN.OQ,31-Dec-2022,US,Shell Companies,23781533
11,EVGO.OQ,31-Dec-2022,US,Power Charging Stations,23781487
12,SPRU.N,31-Dec-2022,US,Solar Electric Utilities,23781110
13,AMPS.N,31-Dec-2022,US,Solar Electric Utilities,23777053
14,—,31-Dec-2022,US,Electric Utilities (NEC),23776237
15,VIA.OQ,31-Dec-2022,US,Electric Utilities (NEC),23775444
16,—,31-Dec-2022,US,"Corporate Financial Services (NEC)
+1",23775393
17,—,31-Dec-2022,US,"Corporate Financial Services (NEC)
+1",23775304
18,CPWPO.PK^C13,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23774572
19,—,31-Dec-2022,US,Electric Utilities (NEC),23774545
20,FLPWP.PK^C13,31-Dec-2022,US,Electric Utilities (NEC),23774524
21,—,31-Dec-2022,US,Electric Utilities (NEC),23770129
22,—,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23765757
23,—,31-Dec-2022,US,Electric Utilities (NEC),23765371
24,—,31-Dec-2022,US,"—
+2",23759534
25,—,31-Dec-2022,US,Electric Utilities (NEC),23758513
26,TLGA.N,31-Dec-2022,US,Shell Companies,23747257
27,MNTK.OQ,31-Dec-2022,US,Biomass & Waste to Energy Electric Utilities,23739455
28,SMR.N,31-Dec-2022,US,Nuclear Utilities,23736361
29,BLNK.OQ,31-Dec-2022,US,Electrical Components & Equipment (NEC),23732115
30,—,31-Dec-2022,US,—,23731338
31,—,31-Dec-2022,US,Electric Utilities (NEC),23722607
32,REII.PK,30-Nov-2022,US,Electric Utilities (NEC),23716177
33,CNL.N^D16,31-Dec-2022,US,Electric Utilities (NEC),23715278
34,IPL.N^C01,31-Dec-2022,US,Electric Utilities (NEC),23694495
35,DPL.N^K11,31-Dec-2022,US,Electric Utilities (NEC),23694461
36,VST.N,31-Dec-2022,US,Electric Utilities (NEC),23690186
37,—,31-Dec-2022,US,Electric Utilities (NEC),23684621
38,SDO_ph.A^J13,31-Dec-2022,US,"Electric Utilities (NEC)
+2",23684078
39,PNM.N,31-Dec-2022,US,Electric Utilities (NEC),23678455
40,HAWLI.PK,31-Dec-2022,US,Electric Utilities (NEC),23672950
41,AZD.N^A00,31-Dec-2022,US,Electric Utilities (NEC),23670171
42,—,31-Dec-2022,US,"Electric Utilities (NEC)
+2",23669263
43,—,31-Dec-2022,US,"Electric Utilities (NEC)
+2",23669940
44,LNT.OQ,31-Dec-2022,US,Electric Utilities (NEC),23666947
45,EGRKM.PK^K18,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23664591
46,ORA.N,31-Dec-2022,US,Alternative Electric Utilities,23662767
47,PSD.N^B09,31-Dec-2022,US,Electric Utilities (NEC),23661863
48,EVRG.OQ,31-Dec-2022,US,Electric Utilities (NEC),23661229
49,NRG.N,31-Dec-2022,US,Electric Utilities (NEC),23661092
50,—,31-Dec-2022,US,Electric Utilities (NEC),23660542
51,NEP.N,31-Dec-2022,US,Electric Utilities (NEC),23661087
52,EIX.N,31-Dec-2022,US,Electric Utilities (NEC),23659725
53,—,31-Dec-2022,US,Electric Utilities (NEC),23659360
54,—,31-Dec-2022,US,Electric Utilities (NEC),23659159
55,SPS.N^H97,31-Dec-2022,US,Electric Utilities (NEC),23659094
56,—,31-Dec-2022,US,Electric Utilities (NEC),23659085
57,XEL.OQ,31-Dec-2022,US,Electric Utilities (NEC),23659072
58,—,31-Dec-2022,US,Electric Utilities (NEC),23656044
59,WIPSI.PK^K15,31-Dec-2022,US,Electric Utilities (NEC),23656025
60,WELPP.PK,31-Dec-2022,US,Electric Utilities (NEC),23655993
61,WEC.N,31-Dec-2022,US,Electric Utilities (NEC),23655972
62,TAECM.PK^L04,31-Dec-2022,US,Electric Utilities (NEC),23655819
63,PCG.N,31-Dec-2022,US,Electric Utilities (NEC),23655758
64,OGE.N,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23655349
65,AGR.N,31-Dec-2022,US,Electric Utilities (NEC),23653133
66,MGEE.OQ,31-Dec-2022,US,Electric Utilities (NEC),23651347
67,AEE.N,31-Dec-2022,US,"Multiline Utilities
+1",23650271
68,SCG_p.N^L09,31-Dec-2022,US,Electric Utilities (NEC),23645246
69,D.N,31-Dec-2022,US,Electric Utilities (NEC),23645207
70,ELB.N^L03,31-Dec-2022,US,Electric Utilities (NEC),23642987
71,KUTLP.PK^J05,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23641805
72,CNP.N,31-Dec-2022,US,"Multiline Utilities
+2",23640214
73,CEDNM.PK^E12,31-Dec-2022,US,"Multiline Utilities
+1",23639013
74,IDA.N,31-Dec-2022,US,Electric Utilities (NEC),23637196
